team_id;win_rate_estrela;win_rate_sem_estrela;indice;team_name
T-01;0,333;0,000;0,333;Algeria
T-02;0,000;0,000;0,000;Angola
T-03;0,571;0,250;0,321;Argentina
T-04;0,222;0,250;-0,028;Australia
T-06;0,475;0,600;-0,125;Belgium
T-09;0,714;0,417;0,298;Brazil
T-10;0,235;0,000;0,235;Bulgaria
T-11;0,242;0,000;0,242;Cameroon
T-12;0,286;0,000;0,286;Canada
T-13;0,222;0,250;-0,028;Chile
T-14;0,444;0,500;-0,056;China
T-16;0,476;0,000;0,476;Colombia
T-17;0,333;0,000;0,333;Costa Rica
T-18;0,593;0,333;0,259;Croatia
T-21;0,300;0,000;0,300;Czechoslovakia
T-22;0,353;0,000;0,353;Denmark
T-24;0,250;0,500;-0,250;East Germany
T-25;0,333;0,000;0,333;Ecuador
T-26;0,000;0,000;0,000;Egypt
T-27;0,000;0,000;0,000;
T-28;0,507;0,400;0,107;England
T-30;0,623;0,333;0,290;France
T-31;0,714;0,200;0,514;Germany
T-32;0,273;0,000;0,273;Ghana
T-33;0,286;0,000;0,286;Greece
T-35;0,000;0,000;0,000;Honduras
T-36;0,286;0,000;0,286;Hungary
T-38;0,176;0,000;0,176;Iran
T-41;0,544;0,375;0,169;Italy
T-44;0,420;0,111;0,309;Japan
T-46;0,333;0,000;0,333;Mexico
T-47;0,300;0,000;0,300;Morocco
T-48;0,607;0,333;0,273;Netherlands
T-49;0,000;0,000;0,000;New Zealand
T-50;0,200;0,214;-0,014;Nigeria
T-51;0,182;0,167;0,015;North Korea
T-53;0,537;0,714;-0,178;Norway
T-54;0,000;0,000;0,000;Panama
T-55;0,312;0,200;0,112;Paraguay
T-57;0,486;0,000;0,486;Poland
T-58;0,462;0,250;0,212;Portugal
T-60;0,273;0,000;0,273;Republic of Ireland
T-61;0,429;0,500;-0,071;Romania
T-62;0,312;0,571;-0,259;Russia
T-63;0,231;0,167;0,064;Saudi Arabia
T-65;0,400;0,500;-0,100;Senegal
T-66;0,125;1,000;-0,875;Serbia
T-67;0,000;0,000;0,000;Serbia and Montenegro
T-71;0,214;0,000;0,214;South Korea
T-72;0,467;0,000;0,467;Soviet Union
T-73;0,481;0,286;0,195;Spain
T-74;0,464;0,429;0,035;Sweden
T-75;0,400;0,000;0,400;Switzerland
T-79;0,176;0,000;0,176;Tunisia
T-83;0,580;0,615;-0,036;United States
T-84;0,438;0,000;0,438;Uruguay
T-86;0,658;0,500;0,158;West Germany
T-87;0,429;0,250;0,179;Yugoslavia
